Designator,Mid X,Mid Y,Rotation,Layer
C1,224.89,-68.48,180.0,top
C2,240.18,-97.74,0.0,top
D1,231.995,-52.5,0.0,top
D10,203.495,-81.0,0.0,top
D11,206.995,-66.0,0.0,top
D12,218.995,-56.0,0.0,top
D13,232.59,-72.09,90.0,top
D2,245.23,-55.5,0.0,top
D3,256.495,-65.0,0.0,top
D4,261.995,-79.0,0.0,top
D5,259.495,-94.0,0.0,top
D6,249.995,-105.5,0.0,top
D7,234.495,-110.5,0.0,top
D8,219.495,-107.5,0.0,top
D9,207.495,-96.0,0.0,top
J1,232.59,-68.32,90.0,bottom
R1,225.45,-81.65,180.0,top
R10,214.9,-103.9999997884187,240.0,top
R11,205.4000007115813,-90.1000008660254,210.0,top
R12,204.7,-74.6,180.0,top
R13,212.5000002115813,-62.600001,150.0,top
R14,224.6199991339746,-54.28000071158129,120.0,top
R2,231.85,-85.98,90.0,top
R3,237.1,-53.3,90.0,top
R4,250.0,-59.50000021158129,60.0,top
R5,258.4000002884187,-71.1999991339746,30.0,top
R6,260.4,-85.2,0.0,top
R7,255.0999997884187,-98.5,330.0,top
R8,244.6,-107.09999978841871,300.0,top
R9,229.18,-109.72,270.0,top
SW1,225.37,-87.47,180.0,top
SW2,239.91,-69.16,180.0,top
U1,225.15,-74.965,90.0,top
U2,240.08,-85.66,180.0,top
